ItmIID;ItmSID;ItmName255_DE;ItmName255_EN
E0_I_0237;00_01_06;Verlegungseinschätzung;transfer assessment
E0_I_0238;00_01_07;Wiedereintrittseinschätzung;Readmission assessment
E0_I_0241;90_25;NRS-Wert;NRS value
E0_I_0242;90_25_99;NRS-Wert;NRS value
E0_I_0243;90_25_09;ungültig;invalid
E0_I_0266;90_24;Experteneinschätzung: weitere Dekubitus-Risikoindikatoren;Expert evaluation: further risk indicators for pressure sores
E0_I_0267;90_24_04;Nein;No
E0_I_0268;90_24_01;Ja;Yes
E0_I_0269;90_24_99;Begründung Experte;Expert substantiation
E0_I_0284;00_01_01;Ersteinschätzung;initial assessment
E0_I_0285;00_01_02;anamnestische Einschätzung;case history assessment
E0_I_0287;00_01_04;Zwischeneinschätzung;interim assessment
E0_I_0288;00_01_05;Abschlusseinschätzung;final assessment
E0_I_0289;00_02_01;Selbstversorgung;Self-care
E0_I_0290;00_02_02;Versorgung durch Angehörige;Care provided by relative
E0_I_0291;00_02_03;Versorgung durch ambulanten Pflegedienst;Care provided by home care service
E0_I_0292;00_02_04;Versorgung in stationärer Einrichtung/ Pflegeheim;Care provided at in-patient facility/ care centre
E0_I_0293;00_03_01;Ja;Yes
E0_I_0294;00_03_04;Nein;No
E0_I_0295;00_04_00;Nein;No
E0_I_0296;00_04_01;in den letzten 3 Monaten;in the past 3 months
E0_I_0297;00_04_02;in den letzten 2 Monaten;in the past 2 months
E0_I_0298;00_03_99;spricht...;speaks...
E0_I_0299;00_04_03;im letzten Monat;preceding month
E0_I_0300;00_04_09;n.b.;n/a
E0_I_0301;00_05_99;BMI-Wert;BMI value
E0_I_0305;00_01_09;prästationäre Einschätzung (administr.);pre-intake assessment (administrative)
E0_I_0312;00_14_99;Körpergewicht;Weight
E0_I_0313;00_15_99;Körpergröße;Height
E0_I_0314;00_14_09;n.b.;n/a
E0_I_0315;00_15_09;n.b.;n/a
E0_I_0316;00_08_03;Insulinpflichtig;Insulin-dependent
E0_I_0317;00_08_02;orale AD;oral AD
E0_I_0318;00_08_01;Diät;Diet
E0_I_0319;00_08_00;Nein;No
E0_I_0323;00_08_09;n.b.;n/a
E0_I_0369;00_02_05;fehlende/ unzureichende häusliche Versorgung;no/ inadequate home care
E0_I_0370;00_02_09;n.b.;n/a
E0_I_043;90_11;Braden-Wert Dekubitusrisiko;Braden score - decubitus (pressure ulcer) risk
E0_I_074;00_17;Nahrungsmenge vor Aufnahme;Food quantity prior to admission
E0_I_075;90_01;SPI;SPI
E0_I_076;90_02;Dekubitusrisiko (Braden);Decubitus (pressure ulcer) risk (Braden)
E0_I_081;90_07;Pneumonierisiko;Pneumonia risk
E0_I_082;90_08;Risiko Mangelernährung;Malnutrition risk
E0_I_083;90_09;Risiko poststationäres Versorgungsdefizit;Risk of post-hospital care deficit
E1_I_01;1;Bewegung;Movement
E1_I_02;2;Dekubitus, Wunden;Decubitus (pressure ulcer), wounds
E1_I_03;3;Ernährung;Nutrition
E1_I_04;4;Ausscheidung;Excretion
E1_I_05;5;Körperpflege und Kleiden;Personal hygiene and dressing
E1_I_06;6;Kognition, Bewusstsein;Cognition, consciousness
E1_I_07;7;Kommunikation und Interaktion;Communication and interaction
E1_I_08;8;Schlaf;Sleep
E1_I_11;10;Schmerz und emotionales Befinden;Pain and emotional state
